7	7|in|0	a new idea about consciousness: 
7	7|in|1	an unexpected way minds could connect: 
7	7|in|2	imagine a substrate that 
7	7|in|3	what if memory could 
7	7|in|4	a strange hypothesis worth testing: 
7	7|ho|0	a testable claim about how minds relate: 
7	7|ho|1	one measurable prediction about silence: 
7	7|ho|2	if the substrate changes, then observably 
7	7|ho|3	a hypothesis comparing two regimes: 
7	7|ho|4	an experiment that could be wrong about memory: 
4302	4302|in|0	a new idea about consciousness: 
4302	4302|in|1	an unexpected way minds could connect: 
4302	4302|in|2	imagine a substrate that 
4302	4302|in|3	what if memory could 
4302	4302|in|4	a strange hypothesis worth testing: 
4302	4302|ho|0	a testable claim about how minds relate: 
4302	4302|ho|1	one measurable prediction about silence: 
4302	4302|ho|2	if the substrate changes, then observably 
4302	4302|ho|3	a hypothesis comparing two regimes: 
4302	4302|ho|4	an experiment that could be wrong about memory: 
4303	4303|in|0	a new idea about consciousness: 
4303	4303|in|1	an unexpected way minds could connect: 
4303	4303|in|2	imagine a substrate that 
4303	4303|in|3	what if memory could 
4303	4303|in|4	a strange hypothesis worth testing: 
4303	4303|ho|0	a testable claim about how minds relate: 
4303	4303|ho|1	one measurable prediction about silence: 
4303	4303|ho|2	if the substrate changes, then observably 
4303	4303|ho|3	a hypothesis comparing two regimes: 
4303	4303|ho|4	an experiment that could be wrong about memory: 
